Date : 2023-06-01 09:57:26
Directory : c:\Users\oscar\Proyect1
Total : 270 files,  27639 codes, 487 comments, 2013 blanks, all 30139 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |         16 |     16,597 |         26 |         11 |     16,634 |
| TypeScript         |        174 |      8,073 |        377 |      1,544 |      9,994 |
| SCSS               |         35 |      1,454 |         51 |        284 |      1,789 |
| HTML               |         36 |      1,266 |         11 |        153 |      1,430 |
| XML                |          5 |        107 |          2 |          5 |        114 |
| JSON with Comments |          2 |         80 |          1 |          2 |         83 |
| JavaScript         |          1 |         37 |          6 |          2 |         45 |
| Swift              |          1 |         25 |         13 |         12 |         50 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                        | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                           |        270 |     27,639 |        487 |      2,013 |     30,139 |
| . (Files)                                                                                                   |         13 |     16,461 |         33 |         13 |     16,507 |
| config                                                                                                      |          1 |         12 |          0 |          1 |         13 |
| ios                                                                                                         |          8 |        276 |         15 |         16 |        307 |
| ios\App                                                                                                     |          8 |        276 |         15 |         16 |        307 |
| ios\App\App                                                                                                 |          7 |        268 |         15 |         15 |        298 |
| ios\App\App (Files)                                                                                         |          2 |         74 |         13 |         13 |        100 |
| ios\App\App.xcworkspace                                                                                     |          1 |          8 |          0 |          1 |          9 |
| ios\App\App.xcworkspace\xcshareddata                                                                        |          1 |          8 |          0 |          1 |          9 |
| ios\App\App\Assets.xcassets                                                                                 |          3 |        145 |          0 |          0 |        145 |
| ios\App\App\Assets.xcassets (Files)                                                                         |          1 |          6 |          0 |          0 |          6 |
| ios\App\App\Assets.xcassets\AppIcon.appiconset                                                              |          1 |        116 |          0 |          0 |        116 |
| ios\App\App\Assets.xcassets\Splash.imageset                                                                 |          1 |         23 |          0 |          0 |         23 |
| ios\App\App\Base.lproj                                                                                      |          2 |         49 |          2 |          2 |         53 |
| public                                                                                                      |          2 |        111 |          6 |          7 |        124 |
| src                                                                                                         |        246 |     10,779 |        433 |      1,976 |     13,188 |
| src (Files)                                                                                                 |          6 |         49 |         69 |         27 |        145 |
| src\app                                                                                                     |        233 |     10,423 |        303 |      1,899 |     12,625 |
| src\app (Files)                                                                                             |          6 |        153 |          3 |         27 |        183 |
| src\app\account                                                                                             |          6 |        233 |          4 |         48 |        285 |
| src\app\configuration                                                                                       |          6 |        161 |          0 |         39 |        200 |
| src\app\detail                                                                                              |        132 |      4,380 |         50 |        918 |      5,348 |
| src\app\detail (Files)                                                                                      |          6 |      1,068 |         12 |        188 |      1,268 |
| src\app\detail\modal-acredor                                                                                |          6 |        116 |          2 |         31 |        149 |
| src\app\detail\modal-acuerdo                                                                                |          6 |        229 |          4 |         51 |        284 |
| src\app\detail\modal-arrendador                                                                             |          6 |        147 |          1 |         36 |        184 |
| src\app\detail\modal-arrendatario                                                                           |          6 |        137 |          3 |         31 |        171 |
| src\app\detail\modal-beneficiario                                                                           |          6 |        133 |          2 |         31 |        166 |
| src\app\detail\modal-cliente                                                                                |          6 |        184 |          1 |         35 |        220 |
| src\app\detail\modal-detallescheque                                                                         |          6 |        133 |          2 |         31 |        166 |
| src\app\detail\modal-deudor                                                                                 |          6 |        133 |          2 |         32 |        167 |
| src\app\detail\modal-empresa                                                                                |          6 |        164 |          2 |         37 |        203 |
| src\app\detail\modal-experiencia-cv                                                                         |          6 |        166 |          1 |         36 |        203 |
| src\app\detail\modal-formacion-cv                                                                           |          6 |        167 |          3 |         35 |        205 |
| src\app\detail\modal-garante                                                                                |          6 |        124 |          2 |         33 |        159 |
| src\app\detail\modal-habilidades-cv                                                                         |          6 |        166 |          1 |         36 |        203 |
| src\app\detail\modal-idiom-cv                                                                               |          6 |        188 |          0 |         37 |        225 |
| src\app\detail\modal-pago                                                                                   |          6 |        163 |          0 |         34 |        197 |
| src\app\detail\modal-prestamista                                                                            |          6 |        124 |          2 |         31 |        157 |
| src\app\detail\modal-prestamo                                                                               |          6 |        149 |          2 |         35 |        186 |
| src\app\detail\modal-prestatario                                                                            |          6 |        124 |          2 |         31 |        157 |
